Known As,Full Name,Best Position,Nationality,Club Name
E. Bardhi,Enis Bardhi,LM,North Macedonia,Trabzonspor
A. Maier,Arne Maier,CM,Germany,FC Augsburg
N. Bajrami,Nedim Bajrami,CAM,Albania,Empoli
N. Domínguez,Nicolás Domínguez,CM,Argentina,Bologna
Pierrino Faria,Pierre Tomás Torres De Faria,GK,Brazil,Santos
Nelsildo Reis,Nelson Arturo Reis Lopes,GK,Brazil,Ceará Sporting Club
Fred Aníbão,Fred Marcos Aníbal Dias,GK,Brazil,Club Athletico Paranaense
Trezeguet,Mahmoud Hassan,LW,Egypt,Trabzonspor
R. Oxford,Reece Oxford,CB,England,FC Augsburg
E. Bailly,Eric Bailly,CB,Côte d'Ivoire,Olympique de Marseille
N. Amiri,Nadiem Amiri,CAM,Germany,Bayer 04 Leverkusen
J. Bamba,Jonathan Bamba,LM,France,LOSC Lille
I. Provedel,Ivan Provedel,GK,Italy,Lazio
O. Pineda,Orbelín Pineda,LW,Mexico,AEK Athens
E. Boateng,Emmanuel Boateng,ST,Ghana,Rio Ave FC
R. Kent,Ryan Kent,RM,England,Rangers FC
Z. Çelik,Zeki Çelik,RWB,Turkey,Roma
Sergio Rico,Sergio Rico González,GK,Spain,Paris Saint-Germain
Moi Gómez,Moisés Gómez Bordonado,LM,Spain,CA Osasuna
Y. Abdelhamid,Yunis Abdelhamid,CB,Morocco,Stade de Reims
M. Stevanović,Miroslav Stevanović,RW,Bosnia and Herzegovina,Servette FC
S. Prcić,Sanjin Prcić,CDM,Bosnia and Herzegovina,RC Strasbourg Alsace
M. De Sciglio,Mattia De Sciglio,RB,Italy,Juventus
Pere Milla,Pere Milla Peña,ST,Spain,Elche CF
C. Adams,Ché Adams,ST,Scotland,Southampton
Antonaldinho,Antonaldo David Machado Chagas,CB,Brazil,Clube Atlético Mineiro
T. Kehrer,Thilo Kehrer,CB,Germany,West Ham United
Lúcio Corteijo,Lúcio Anselmo Corteijo Salazar,RB,Brazil,América Futebol Clube
Silas Almeim,Silas Enaldo Barros de Almeida,LB,Brazil,Ceará Sporting Club
A. Lunev,Andrey Lunev,GK,Russia,Bayer 04 Leverkusen
Rubén Alcaraz,Rubén Alcaraz Jiménez,CDM,Spain,Cádiz CF
Fali,Rafael Jiménez Jarque,CB,Spain,Cádiz CF
V. Pavlidis,Vangelis Pavlidis,ST,Greece,AZ Alkmaar
L. García,Levi García,CAM,Trinidad and Tobago,AEK Athens
M. Svanberg,Mattias Svanberg,CM,Sweden,VfL Wolfsburg
O. Idrissi,Oussama Idrissi,LW,Morocco,Feyenoord
L. Martínez Quarta,Lucas Martínez Quarta,CB,Argentina,Fiorentina
G. Prömel,Grischa Prömel,CM,Germany,TSG Hoffenheim
Matheus Pereira,Matheus Fellipe Costa Pereira,CAM,Brazil,Al Hilal
J. St. Juste,Jeremiah St. Juste,RB,Netherlands,Sporting CP
Rubén Duarte,Rubén Duarte Sánchez,CB,Spain,Deportivo Alavés
G. Martínez,Gonzalo Martínez,LW,Argentina,Al Nassr
W. Zimmerman,Walker Zimmerman,CB,United States,Nashville SC
M. Boselli,Mauro Boselli,ST,Argentina,Estudiantes de La Plata
Y. Gerhardt,Yannick Gerhardt,CM,Germany,VfL Wolfsburg
M. Olise,Michael Olise,CAM,France,Crystal Palace
Sancet,Oihan Sancet Tirapu,ST,Spain,Athletic Club de Bilbao
Trincão,Francisco Mota Castro Trincão,CAM,Portugal,Sporting CP
M. Kudus,Mohammed Kudus,CAM,Ghana,Ajax
L. Suárez,Luis Javier Suárez,ST,Colombia,Olympique de Marseille
T. Almada,Thiago Almada,CAM,Argentina,Atlanta United
Óscar Gil,Óscar Gil Regaño,RWB,Spain,RCD Espanyol de Barcelona
R. Sottil,Riccardo Sottil,CAM,Italy,Fiorentina
M. Solomon,Manor Solomon,CAM,Israel,Fulham
Carlos Neva,Carlos Neva Tey,LB,Spain,Granada CF
Edgar,Edgar González Estrada,CB,Spain,Real Betis Balompié
K. Kvaratskhelia,Khvicha Kvaratskhelia,CAM,Georgia,Napoli
Tetê,Mateus Tetê,CAM,Brazil,Olympique Lyonnais
Thierry Correia,Thierry Rendall Correia,RB,Portugal,Valencia CF
V. Mykolenko,Vitaliy Mykolenko,LB,Ukraine,Everton
Vivian,Daniel Vivian Moreno,CB,Spain,Athletic Club de Bilbao
L. Kalvach,Lukáš Kalvach,CDM,Czech Republic,FC Viktoria Plzeň
K. Laba,Kodjo Fo-Doh Laba,ST,Togo,Al Ain FC
S. Weissman,Shon Weissman,ST,Israel,Real Valladolid CF
Z. Sanusi,Zaidu Sanusi,LB,Nigeria,FC Porto
David Carmo,David Mota Teixeira Carmo,CB,Portugal,FC Porto
B. Brobbey,Brian Brobbey,ST,Netherlands,Ajax
T. Pobega,Tommaso Pobega,ST,Italy,AC Milan
L. Krejčí,Ladislav Krejčí,CB,Czech Republic,AC Sparta Praha
W. Singo,Wilfried Singo,RWB,Côte d'Ivoire,Torino F.C.
H. Boudaoui,Hicham Boudaoui,CAM,Algeria,OGC Nice
A. Szalai,Attila Szalai,CB,Hungary,Fenerbahçe SK
Vinícius,Carlos Vinícius Alves Morais,ST,Brazil,Fulham
V. Buyalskyi,Vitaliy Buyalskyi,CM,Ukraine,Dynamo Kyiv
P. Wimmer,Patrick Wimmer,RM,Austria,VfL Wolfsburg
Igor,Igor Julio dos Santos de Paulo,CB,Brazil,Fiorentina
Iuri Medeiros,Iuri José Picanço Medeiros,CAM,Portugal,SC Braga
J. Reynolds,Joe Reynolds,CB,Republic of Ireland,AFC Richmond
E. Winchester,Emmanuel Winchester,CB,Nigeria,AFC Richmond
T. Zoreaux,Thierry Zoreaux,GK,Canada,AFC Richmond
Miranda,Juan Miranda González,LB,Spain,Real Betis Balompié
D. Ljubičić,Dejan Ljubičić,RM,Austria,1. FC Köln
T. Mitchell,Tyrick Mitchell,LB,England,Crystal Palace
N. Tenaglia,Nahuel Tenaglia,RB,Argentina,Deportivo Alavés
Y. Belaïli,Youcef Belaïli,LM,Algeria,Stade Brestois 29
M. Damsgaard,Mikkel Damsgaard,CAM,Denmark,Brentford
Mauro Júnior,Mauro Jaqueson J. Ferreira Santos,LM,Brazil,PSV
J. Wind,Jonas Wind,ST,Denmark,VfL Wolfsburg
P. Gueye,Pape Gueye,CDM,Senegal,Olympique de Marseille
J. Burkardt,Jonathan Burkardt,ST,Germany,1. FSV Mainz 05
D. Rossi,Diego Rossi,CAM,Uruguay,Fenerbahçe SK
H. Morita,Hidemasa Morita,CM,Japan,Sporting CP
Stephen Eustáquio,Stephen Antunes Eustáquio,CDM,Canada,FC Porto
C. Jones,Curtis Jones,CM,England,Liverpool
C. Doucouré,Cheick Doucouré,CDM,Mali,Crystal Palace
R. Aït Nouri,Rayan Aït Nouri,LWB,France,Wolverhampton Wanderers
L. Romo,Luis Romo,CM,Mexico,Free agent
E. Mwepu,Enock Mwepu,CM,Zambia,Brighton & Hove Albion
L. Pellegrini,Luca Pellegrini,LB,Italy,Eintracht Frankfurt
D. McNeil,Dwight McNeil,CAM,England,Everton
Catena,Alejandro Catena Marugán,CB,Spain,Rayo Vallecano
Jovane Cabral,Jovane Eduardo Borges Cabral,RM,Cape Verde Islands,Sporting CP
A. Kalimuendo,Arnaud Kalimuendo,ST,France,Stade Rennais FC
R. Zentner,Robin Zentner,GK,Germany,1. FSV Mainz 05
A. Stach,Anton Stach,CM,Germany,1. FSV Mainz 05
C. Nørgaard,Christian Nørgaard,CDM,Denmark,Brentford
F. Vázquez,Franco Vázquez,CAM,Argentina,Parma
A. Webster,Adam Webster,CB,England,Brighton & Hove Albion
Roger,Roger Martí Salvador,ST,Spain,Elche CF
R. Fraser,Ryan Fraser,RM,Scotland,Newcastle United
B. Traoré,Bertrand Traoré,RM,Burkina Faso,İstanbul Başakşehir FK
Paulo Otávio,Paulo Otávio Rosa da Silva,LB,Brazil,VfL Wolfsburg
Andreas Pereira,Andreas Hugo Hoelgebaum Pereira,CAM,Brazil,Fulham
J. Gastien,Johan Gastien,CDM,France,Clermont Foot 63
F. Mollet,Florent Mollet,RM,France,FC Schalke 04
E. Mena,Eugenio Mena,LB,Chile,Racing Club
André Ramalho,André Ramalho Silva,CB,Brazil,PSV
A. Hegazi,Ahmed Hegazi,CB,Egypt,Al Ittihad
C. Nielsen,Casper Nielsen,CM,Denmark,Club Brugge KV
J. Hart,Joe Hart,GK,England,Celtic
M. Sanson,Morgan Sanson,CM,France,Aston Villa
G. Fernández,Guillermo Fernández,CM,Argentina,Boca Juniors
D. Rugani,Daniele Rugani,CB,Italy,Juventus
D. Cataldi,Danilo Cataldi,CM,Italy,Lazio
M. Elneny,Mohamed Elneny,CDM,Egypt,Arsenal
N. Maupay,Neal Maupay,ST,France,Everton
P. Frankowski,Przemysław Frankowski,RM,Poland,Racing Club de Lens
R. Gagliardini,Roberto Gagliardini,CDM,Italy,Inter
B. Mechele,Brandon Mechele,CB,Belgium,Club Brugge KV
D. Kohr,Dominik Kohr,CB,Germany,1. FSV Mainz 05
Ricardo Esgaio,Ricardo Sousa Esgaio,RWB,Portugal,Sporting CP
H. Ekitike,Hugo Ekitike,ST,France,Paris Saint-Germain
A. Pyatov,Andriy Pyatov,GK,Ukraine,Shakhtar Donetsk
R. Steffen,Renato Steffen,LM,Switzerland,FC Lugano
F. Ribéry,Franck Ribéry,CAM,France,US Salernitana 1919
Diego Costa,Diego da Silva Costa,ST,Spain,Wolverhampton Wanderers
K. Jakić,Kristijan Jakić,CDM,Croatia,Eintracht Frankfurt
L. Biglia,Lucas Biglia,CDM,Argentina,İstanbul Başakşehir FK
João Victor,João Victor da Silva Marcelino,CB,Brazil,SL Benfica
C. Lukeba,Castello Lukeba,CB,France,Olympique Lyonnais
R. Cota,Rodolfo Cota,GK,Mexico,Free agent
Ö. Toprak,Ömer Toprak,CB,Turkey,Antalyaspor
M. Moralez,Maxi Moralez,CAM,Argentina,New York City FC
S. Terodde,Simon Terodde,ST,Germany,FC Schalke 04
Víctor Díaz,Víctor David Díaz Miguel,CB,Spain,Granada CF
M. Sakho,Mamadou Sakho,CB,France,Montpellier Hérault SC
M. Gradel,Max-Alain Gradel,CF,Côte d'Ivoire,Demir Grup Sivasspor
S. Coleman,Séamus Coleman,RB,Republic of Ireland,Everton
I. Ilić,Ivan Ilić,CAM,Serbia,Hellas Verona
R. Nainggolan,Radja Nainggolan,CM,Belgium,Royal Antwerp FC
F. Forster,Fraser Forster,GK,England,Tottenham Hotspur
R. Vormer,Ruud Vormer,CM,Netherlands,Club Brugge KV
F. Quagliarella,Fabio Quagliarella,CAM,Italy,U.C. Sampdoria
Falcao,Radamel Falcao García Zarate,ST,Colombia,Rayo Vallecano
L. De Silvestri,Lorenzo De Silvestri,RWB,Italy,Bologna
T. Krul,Tim Krul,GK,Netherlands,Norwich City
Y. Gómez Andrade,Yeimar Gómez Andrade,CB,Colombia,Seattle Sounders FC
H. Moreno,Héctor Moreno,CB,Mexico,Free agent
Juan Mata,Juan Manuel Mata García,CAM,Spain,Galatasaray SK
S. Okaka,Stefano Okaka,ST,Italy,İstanbul Başakşehir FK
Miguel Veloso,Miguel Luís Pinto Veloso,CM,Portugal,Hellas Verona
V. Muriqi,Vedat Muriqi,ST,Kosovo,RCD Mallorca
C. Goodwin,Craig Goodwin,LM,Australia,Adelaide United
H. Lindner,Heinz Lindner,GK,Austria,FC Sion
J. Lascelles,Jamaal Lascelles,CB,England,Newcastle United
J. Gouweleeuw,Jeffrey Gouweleeuw,CB,Netherlands,FC Augsburg
F. Kainz,Florian Kainz,LM,Austria,1. FC Köln
D. Caligiuri,Daniel Caligiuri,RM,Italy,FC Augsburg
Aihen Muñoz,Aihen Muñoz Capellán,LB,Spain,Real Sociedad
J. Graterol,Joel Graterol,GK,Venezuela,América de Cali
M. Sadílek,Michal Sadílek,CDM,Czech Republic,FC Twente
M. Pjaca,Marko Pjaca,CAM,Croatia,Empoli
Nacho Vidal,Ignacio Vidal Miralles,RB,Spain,CA Osasuna
Bruno Costa,Bruno Xavier Almeida Costa,CM,Portugal,FC Porto
J. Fuenzalida,José Pedro Fuenzalida,RM,Chile,Universidad Católica
P. Olayinka,Peter Olayinka,LM,Nigeria,SK Slavia Praha
B. Schmitz,Benno Schmitz,RB,Germany,1. FC Köln
S. Banza,Simon Banza,ST,France,SC Braga
D. Toköz,Dorukhan Toköz,CDM,Turkey,Trabzonspor
J. Guilavogui,Josuha Guilavogui,CB,France,VfL Wolfsburg
Edu Expósito,Eduardo Expósito Jaén,CM,Spain,RCD Espanyol de Barcelona
T. Livramento,Tino Livramento,RB,England,Southampton
J. Lerma,Jefferson Lerma,CDM,Colombia,AFC Bournemouth
M. Rodák,Marek Rodák,GK,Slovakia,Fulham
S. Bornauw,Sebastiaan Bornauw,CB,Belgium,VfL Wolfsburg
Fernando,Fernando Martínez Rubio,GK,Spain,Unión Deportiva Almería
O. Colley,Omar Colley,CB,Gambia,U.C. Sampdoria
C. Taylor,Charlie Taylor,LB,England,Burnley
N. Höfler,Nicolas Höfler,CDM,Germany,Sport-Club Freiburg
S. Ulreich,Sven Ulreich,GK,Germany,FC Bayern München
D. Cockburn,Dejon Cockburn,ST,Jamaica,AFC Richmond
B. Drągowski,Bartłomiej Drągowski,GK,Poland,Spezia
C. Guanca,Cristian Guanca,CAM,Argentina,Al Shabab
Aguado,Álvaro Aguado Méndez,CM,Spain,Real Valladolid CF
Pedrinho,Pedro Filipe Barbosa Moreira,CAM,Portugal,MKE Ankaragücü
K. Hause,Kortney Hause,CB,England,Watford
V. Lazaro,Valentino Lazaro,RWB,Austria,Torino F.C.
P. Stojanović,Petar Stojanović,RB,Slovenia,Empoli
S. Birindelli,Samuele Birindelli,RWB,Italy,AC Monza
L. Miranda,Leonel Miranda,CM,Argentina,Racing Club
K. Adeyemi,Karim Adeyemi,ST,Germany,Borussia Dortmund
Rubén Pérez,Rubén Salvador Pérez del Mármol,CDM,Spain,Panathinaikos FC
Rodrigo Ely,Rodrigo Ely,CB,Brazil,Unión Deportiva Almería
T. O'Brien,Tom O'Brien,GK,England,AFC Richmond
S. Bell,Stefan Bell,CB,Germany,1. FSV Mainz 05
A. Cornelius,Andreas Cornelius,ST,Denmark,F.C. København
F. Uduokhai,Felix Uduokhai,CB,Germany,FC Augsburg
M. Camara,Mady Camara,CM,Guinea,Roma
Marcano,Iván Marcano Sierra,CB,Spain,FC Porto
O. Kukoč,Ozzie Kukoč,RM,England,AFC Richmond
Jesus Andradaldo,Jesus Fabrício Andrade Simões,RB,Brazil,Cuiabá
J. Cabot,Jimmy Cabot,RM,France,Racing Club de Lens
Rubens Freitosa,Rubens Jairo Freitosa Costa,CM,Brazil,Club Athletico Paranaense
Rony Lopes,Marcos Paulo Mesquita Lopes,RW,Portugal,ESTAC Troyes
L. Morgan,Lewis Morgan,RM,Scotland,New York Red Bulls
Bernard,Bernard Anício Caldeira Duarte,LW,Brazil,Panathinaikos FC
A. Elis,Alberth Elis,ST,Honduras,FC Girondins de Bordeaux
U. Babatunde,Ugo Babatunde,CB,Nigeria,AFC Richmond
A. Hickey,Aaron Hickey,RB,Scotland,Brentford
I. Baba,Iddrisu Baba,CDM,Ghana,RCD Mallorca
T. Lamptey,Tariq Lamptey,RWB,Ghana,Brighton & Hove Albion
N. Okafor,Noah Okafor,RM,Switzerland,FC Red Bull Salzburg
E. Le Fée,Enzo Le Fée,CM,France,FC Lorient
J. Doku,Jérémy Doku,CAM,Belgium,Stade Rennais FC
Fran García,Francisco José García Torres,LWB,Spain,Rayo Vallecano
A. Pieper,Amos Pieper,CB,Germany,SV Werder Bremen
O. Kossounou,Odilon Kossounou,CB,Côte d'Ivoire,Bayer 04 Leverkusen
R. Rojas,Robert Rojas,RB,Paraguay,River Plate
J. Ramsey,Jacob Ramsey,CAM,England,Aston Villa
A. Král,Alex Král,CDM,Czech Republic,FC Schalke 04
P. Ševčík,Petr Ševčík,CM,Czech Republic,SK Slavia Praha
Fran Navarro,Francisco José Navarro Aliaga,ST,Spain,Gil Vicente FC
A. Palavecino,Agustín Palavecino,CAM,Argentina,River Plate
Moncayola,Jon Moncayola Tollar,CM,Spain,CA Osasuna
N. Collins,Nathan Collins,CB,Republic of Ireland,Wolverhampton Wanderers
Jean Lucas,Jean Lucas de Souza Oliveira,CM,Brazil,AS Monaco
B. Johnson,Brennan Johnson,RM,Wales,Nottingham Forest
Samuel Lino,Samuel Dias Lino,LM,Brazil,Valencia CF
Daniel Bragança,Daniel Santos Bragança,CAM,Portugal,Sporting CP
A. Velasco,Alan Velasco,CAM,Argentina,FC Dallas
Tiago Djaló,Tiago Emanuel Embaló Djaló,CB,Portugal,LOSC Lille
L. Ivanušec,Luka Ivanušec,CAM,Croatia,Dinamo Zagreb
M. Viña,Matías Viña,LWB,Uruguay,Roma
L. Provod,Lukáš Provod,LM,Czech Republic,SK Slavia Praha
L. Thomas,Luke Thomas,LB,England,Leicester City
M. Mudryk,Mykhailo Mudryk,RM,Ukraine,Shakhtar Donetsk
Vítor Tormena,Vítor Tormena de Farias,CB,Brazil,SC Braga
Silas,Silas Katompa Mvumpa,ST,Congo DR,VfB Stuttgart
T. Teuma,Teddy Teuma,CM,Malta,Royale Union Saint-Gilloise
Riqui Puig,Ricard Puig Martí,CAM,Spain,LA Galaxy
L. Balerdi,Leonardo Balerdi,CB,Argentina,Olympique de Marseille
A. Gordon,Anthony Gordon,RM,England,Everton
B. Mbeumo,Bryan Mbeumo,CAM,Cameroon,Brentford
L. Openda,Loïs Openda,ST,Belgium,Racing Club de Lens
Y. Adli,Yacine Adli,CAM,France,AC Milan
D. Spence,Djed Spence,RWB,England,Tottenham Hotspur
A. Lunin,Andriy Lunin,GK,Ukraine,Real Madrid CF
D. Kyereh,Daniel-Kofi Kyereh,CAM,Ghana,Sport-Club Freiburg
N. Pérez,Nehuén Pérez,CB,Argentina,Udinese Calcio
U. Račić,Uroš Račić,CM,Serbia,SC Braga
G. Bushchan,Georgiy Bushchan,GK,Ukraine,Dynamo Kyiv
J. Lindstrøm,Jesper Lindstrøm,CAM,Denmark,Eintracht Frankfurt
L. Tawamba,Léandre Tawamba,ST,Cameroon,Al Taawoun
P. Bucha,Pavel Bucha,CAM,Czech Republic,FC Viktoria Plzeň
S. Giménez,Santiago Giménez,ST,Mexico,Feyenoord
T. Bašić,Toma Bašić,CM,Croatia,Lazio
E. Destanoğlu,Ersin Destanoğlu,GK,Turkey,Beşiktaş JK
M. Kumbulla,Marash Kumbulla,CB,Albania,Roma
P. Beruatto,Pietro Beruatto,LB,Italy,Pisa
K. Furuhashi,Kyogo Furuhashi,ST,Japan,Celtic
C. Cáceda,Carlos Cáceda,GK,Peru,FBC Melgar
G. Rutter,Georginio Rutter,ST,France,TSG Hoffenheim
M. Ngadeu,Michael Ngadeu,CB,Cameroon,KAA Gent
O. Mangala,Orel Mangala,CM,Belgium,Nottingham Forest
F. Pizzini,Francisco Pizzini,RM,Argentina,Club Atlético Talleres
J. Martin,Jonas Martin,CM,France,LOSC Lille
D. Pelkas,Dimitrios Pelkas,CAM,Greece,Hull City
L. Waldschmidt,Luca Waldschmidt,CAM,Germany,VfL Wolfsburg
A. Brignoli,Alberto Brignoli,GK,Italy,Panathinaikos FC
T. Hamed,Tarek Hamed,CDM,Egypt,Al Ittihad
Unai López,Unai López Cabrera,CAM,Spain,Rayo Vallecano
A. Buksa,Adam Buksa,ST,Poland,Racing Club de Lens
Álvaro,Álvaro González Soberón,CB,Spain,Al Nassr
A. Lozano,Anthony Lozano,ST,Honduras,Cádiz CF
S. Posch,Stefan Posch,CB,Austria,Bologna
D. Mihailovic,Djordje Mihailovic,CAM,United States,Club de Foot Montréal
Samu Castillejo,Samuel Castillejo Azuaga,RM,Spain,Valencia CF
J. Leca,Jean-Louis Leca,GK,France,Racing Club de Lens
A. Ayew,André Ayew,CF,Ghana,Free agent
C. Lema,Cristian Lema,CB,Argentina,Newell's Old Boys
José Callejón,José María Callejón Bueno,RM,Spain,Granada CF
O. Dorley,Oscar Dorley,LM,Liberia,SK Slavia Praha
J. Lotomba,Jordan Lotomba,RWB,Switzerland,OGC Nice
M. Sarr,Malang Sarr,CB,France,AS Monaco
P. Schuurs,Perr Schuurs,CB,Netherlands,Torino F.C.
Cote,José Ángel Valdés Díaz,LB,Spain,Real Sporting de Gijón
Salva Sevilla,Salvador Sevilla López,CDM,Spain,Deportivo Alavés
Danisco Fachini,Daniel Clayton Fachini Lobato,CDM,Brazil,Flamengo
K. Itakura,Ko Itakura,CB,Japan,Borussia Mönchengladbach
J. Bellegarde,Jean-Ricner Bellegarde,CM,France,RC Strasbourg Alsace
Borja Bastón,Borja González Tomás,ST,Spain,Real Oviedo
W. Hughes,Will Hughes,CM,England,Crystal Palace
V. Claesson,Viktor Claesson,LM,Sweden,F.C. København
Escudero,Sergio Escudero Palomo,LB,Spain,Real Valladolid CF
Joshuando Sá,Joshua Eduardo Sá Madeira,LB,Brazil,Santos
J. De Sart,Julien De Sart,CM,Belgium,KAA Gent
L. Janson,Lucas Janson,LW,Argentina,Vélez Sarsfield
L. Tousart,Lucas Tousart,CB,France,Hertha BSC
J. Gbamin,Jean-Philippe Gbamin,CB,Côte d'Ivoire,Trabzonspor
C. Cueva,Christian Cueva,LW,Peru,Al Fateh
C. Chambers,Calum Chambers,CB,England,Aston Villa
H. Reed,Harrison Reed,CDM,England,Fulham
Kike García,Enrique García Martínez,ST,Spain,CA Osasuna
M. Ducksch,Marvin Ducksch,ST,Germany,SV Werder Bremen
M. Wittek,Maximilian Wittek,LWB,Germany,Vitesse
D. Foulquier,Dimitri Foulquier,RB,France,Valencia CF
B. Costil,Benoît Costil,GK,France,AJ Auxerre
B. Gomis,Bafétimbi Gomis,ST,France,Galatasaray SK
Júnior Caiçara,Uílson de Souza Paula Júnior,RB,Brazil,İstanbul Başakşehir FK
Gabriel Strefezza,Gabriel Tadeu Strefezza Rebelato,CAM,Brazil,Lecce
U. Antuna,Uriel Antuna,RM,Mexico,Free agent
E. Hysaj,Elseid Hysaj,LB,Albania,Lazio
I. Sissoko,Ibrahima Sissoko,CDM,France,RC Strasbourg Alsace
Y. Mvogo,Yvon Mvogo,GK,Switzerland,FC Lorient
Kaíquão Castro,Kaíque Osvaldo Castro Rodrigues,GK,Brazil,Fluminense
A. Begović,Asmir Begović,GK,Bosnia and Herzegovina,Everton
M. Valjent,Martin Valjent,CB,Slovakia,RCD Mallorca
Moleiro,Alberto Moleiro González,CAM,Spain,Unión Deportiva Las Palmas
D. Turnbull,David Turnbull,CAM,Scotland,Celtic
Santi Comesaña,Santiago Comesaña Veiga,CDM,Spain,Rayo Vallecano
M. Aebischer,Michel Aebischer,CM,Switzerland,Bologna
A. Caci,Anthony Caci,LWB,France,1. FSV Mainz 05
E. Atuesta,Eduard Atuesta,CM,Colombia,Free agent
Aarón,Aarón Martín Caricol,LWB,Spain,1. FSV Mainz 05
Alam Lindeiro,Alam Cristian Lindeiro Couto,LB,Brazil,Atlético Clube Goianiense
M. Gibbs-White,Morgan Gibbs-White,CAM,England,Nottingham Forest
R. Sessegnon,Ryan Sessegnon,LM,England,Tottenham Hotspur
Pol Lirola,Pol Mikel Lirola Kosok,RWB,Spain,Elche CF
A. Pinamonti,Andrea Pinamonti,ST,Italy,U.S. Sassuolo Calcio
M. Di Gregorio,Michele Di Gregorio,GK,Italy,AC Monza
G. Til,Guus Til,ST,Netherlands,PSV
Cucho Hernández,Juan Camilo Hernández Suárez,ST,Colombia,Columbus Crew
V. Nelsson,Victor Nelsson,CB,Denmark,Galatasaray SK
D. Geiger,Dennis Geiger,CM,Germany,TSG Hoffenheim
J. Mosquera,Jhon Mosquera,LM,Colombia,FC Viktoria Plzeň
D. Liénard,Dimitri Liénard,CM,France,RC Strasbourg Alsace
Jean,Jean Paulo Fernandes Filho,GK,Brazil,Club Cerro Porteño
Toni Martínez,Antonio Martínez López,ST,Spain,FC Porto
Y. Wissa,Yoane Wissa,LW,Congo DR,Brentford
Dodô,Domilson Cordeiro dos Santos,RM,Brazil,Fiorentina
J. Willock,Joe Willock,CAM,England,Newcastle United
J. McArthur,James McArthur,CDM,Scotland,Crystal Palace
M. Okugawa,Masaya Okugawa,CAM,Japan,DSC Arminia Bielefeld
R. Olsen,Robin Olsen,GK,Sweden,Aston Villa
Cesinha,Cesar Fernando Silva Melo,CF,Brazil,Daegu FC
M. Bayo,Mohamed Bayo,ST,Guinea,LOSC Lille
J. El Yamiq,Jawad El Yamiq,CB,Morocco,Real Valladolid CF
D. Martínez,David Martínez,CB,Paraguay,River Plate
Junior Firpo,Héctor Junior Firpo Adamés,LWB,Spain,Leeds United
Y. Atal,Youcef Atal,RM,Algeria,OGC Nice
Carles Pérez,Carles Pérez Sayol,CAM,Spain,RC Celta de Vigo
Paulinho,Paulo Henrique Sampaio Filho,CAM,Brazil,Bayer 04 Leverkusen
E. Shomurodov,Eldor Shomurodov,ST,Uzbekistan,Roma
M. Boadu,Myron Boadu,ST,Netherlands,AS Monaco
K. Wagner,Kai Wagner,LB,Germany,Philadelphia Union
K. Dewsbury-Hall,Kiernan Dewsbury-Hall,CM,England,Leicester City
M. Bakker,Mitchel Bakker,LB,Netherlands,Bayer 04 Leverkusen
Wilson Manafá,Wilson Miguéis Manafá Jancó,RB,Portugal,FC Porto
E. Pinnock,Ethan Pinnock,CB,Jamaica,Brentford
Rodrigo Becão,Rodrigo Nascimento França,CB,Brazil,Udinese Calcio
R. Vargas,Ruben Vargas,LM,Switzerland,FC Augsburg
Michael,Michael Richard Delgado de Oliveira,LW,Brazil,Al Hilal
K. Danso,Kevin Danso,CB,Austria,Racing Club de Lens
D. Muñoz,Daniel Muñoz,RB,Colombia,KRC Genk
A. Sambi Lokonga,Albert Sambi Lokonga,CM,Belgium,Arsenal
B. Brereton Díaz,Ben Brereton Díaz,ST,Chile,Blackburn Rovers
Nico González,Nicolás González Iglesias,CDM,Spain,Valencia CF
W. Omari,Warmed Omari,CB,France,Stade Rennais FC
A. Truffert,Adrien Truffert,LWB,France,Stade Rennais FC
J. Šutalo,Josip Šutalo,CB,Croatia,Dinamo Zagreb
F. Farías,Facundo Farías,CAM,Argentina,Club Atlético Colón
A. Broja,Armando Broja,ST,Albania,Chelsea
K. Sulemana,Kamaldeen Sulemana,RM,Ghana,Stade Rennais FC
N. Rovella,Nicolò Rovella,CM,Italy,AC Monza
C. Roldan,Cristian Roldan,CM,United States,Seattle Sounders FC
M. Bard,Melvin Bard,LB,France,OGC Nice
J. Gallardo,Jesús Gallardo,LB,Mexico,Free agent
M. Eggestein,Maximilian Eggestein,CDM,Germany,Sport-Club Freiburg
Kaku,Alejandro Romero Gamarra,CAM,Paraguay,Al Taawoun
Gonçalo Ramos,Gonçalo Matias Ramos,ST,Portugal,SL Benfica
Tiago Tomás,Tiago B. de Melo Tomás,ST,Portugal,VfB Stuttgart
A. Theate,Arthur Theate,CB,Belgium,Stade Rennais FC
João Mário,João Mário Neto Lopes,RM,Portugal,FC Porto
A. Knauff,Ansgar Knauff,RM,Germany,Eintracht Frankfurt
J. Juranović,Josip Juranović,RB,Croatia,Celtic
N. Seiwald,Nicolas Seiwald,CM,Austria,FC Red Bull Salzburg
O. Lingr,Ondřej Lingr,CAM,Czech Republic,SK Slavia Praha
K. Aktürkoğlu,Kerem Aktürkoğlu,CAM,Turkey,Galatasaray SK
M. Gusto,Malo Gusto,RB,France,Olympique Lyonnais
Gabriel Veron,Gabriel Veron Fonseca de Souza,CAM,Brazil,FC Porto
A. Varela,Alan Varela,CDM,Argentina,Boca Juniors
M. Uzuni,Myrto Uzuni,LM,Albania,Granada CF
A. Mandous,Aleš Mandous,GK,Czech Republic,SK Slavia Praha
